中国船舶^599
三菱重工^303
广船国际^275
中船集团^212
中国船舶工业集团公司^141
招商轮船^72
广州广船国际股份有限公司^59
上海佳豪^50
现代重工^35
中船澄西^27
大宇造船^20
三星重工^16
中船股份^13
长兴重工^6
中船澄西船舶修造有限公司^5
金海重工^3
中船工业^3
上海佳豪船舶工程设计股份有限公司^2
中国海运集团^2
熔盛重工^2
