中国^372
重工^369
乐普^272
公司^257
医疗^253
公告^178
2014^168
蛟龙^161
集团^141
东港^123
武船^111
船舶^82
第一^78
股票^77
股权^74
300003^74
股份有限^67
大连^65
尼日利亚^65
航段^64
交付^64
股份^63
正式^60
国家^59
试验^58
巡逻舰^58
澄清^57
证券^56
药业^56
北京^55
收购^54
我国^54
最大^53
深潜^53
载人^53
关于^52
中船^52
印度洋^51
西南^50
深海^50
601989^49
基地^48
中心^46
舰艇^45
航次^45
资金^44
第二^44
企业^44
任务^43
医疗器械^43
