id^title^url^summary^timestamp^datetime^user_name^source_website^category^content168^hot^rel_score^sensi
http://edu.gmw.cn/newspaper/2014-11/25/content_102256901.htm^释放健身热情 本报登山号角再次响起^http://edu.gmw.cn/newspaper/2014-11/25/content_102256901.htm^ 大连市甘井子区红旗西路王家店水库(大连船舶重工集团爆炸加工研究所有限公司)附近,535路公交车韩家屯前站北走300米。 【大家可以乘坐公交线路到达马栏广场,然后换乘...  ^1416919980^2014-11-25 20:53:00^光明网^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://auto.gmw.cn/newspaper/2014-11/27/content_102304381.htm^海力网上报名火爆 精美背包等你来抢^http://auto.gmw.cn/newspaper/2014-11/27/content_102304381.htm^ 此次所登山峰位于大连市西郊国家森林公园西走约5公里,王家店水库附近,大连船舶重工集团旁。全程约6公里,走完全程大概需要2.5至3个小时,全程大部分路段不设有石阶...  ^1417038180^2014-11-27 05:43:00^光明网^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://henan.people.com.cn/n/2014/1124/c356896-22995345.html^洛阳产业转型升级:改革渐发力大船轻掉头^http://henan.people.com.cn/n/2014/1124/c356896-22995345.html^位于洛阳高新区的中船重工第725研究所绿树掩映,风景怡人。这个从科研院所改制而来的高新科技企业,已经连续三年在新材料销售等方面经营收入超70亿元,近日又刚刚获得78...  ^1416814800^2014-11-24 15:40:00^人民网河南频道^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://www.zgsyb.com/html/ship/2014/11/626693018261.html^武船集团交付首艘出口近海巡逻舰^http://www.zgsyb.com/html/ship/2014/11/626693018261.html^11月27日,我国首艘出口尼日利亚的新型近海巡逻舰在武船集团启东基地正式交付尼日利亚海军,这是武船集团建造的吨位最大的出口军贸舰艇,投用后,将成为“西非第一舰...  ^1417161508^2014-11-28 15:58:28^中国水运网^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://news.emoney.cn/n_00_0201_3733804.shtml^【盛世独家】军船再次异动,谁是漏网之鱼?^http://news.emoney.cn/n_00_0201_3733804.shtml^资料显示,中船重工体系内有两家专门从事电池业务的机构,分别是中国船舶重工集团公司第七一二研究所和淄博火炬能源有限责任公司。第七一二研究所我国唯一的舰船电力推进...  ^1417066200^2014-11-27 13:30:00^益盟操盘手^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://www.opsteel.cn/news/2014-11/08CDB5C1BA436114E050080A7DC90E84.html^渤船重工1艘215000吨散货船试航^http://www.opsteel.cn/news/2014-11/08CDB5C1BA436114E050080A7DC90E84.html^11月9日,渤海船舶重工有限责任公司建造的一艘215000吨散货船1号船离港试航,较该公司节点计划提前6天。 据悉,这艘215000吨散货船1号船是渤船重工为百国山公司建造...  ^1417056103^2014-11-27 10:41:43^欧浦钢网^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://data.stcn.com/2014/1127/11875324.shtml^中国一重,中国重工等股票资金流速居前^http://data.stcn.com/2014/1127/11875324.shtml^截至10点30分,资金流入速度最快的个股为:中国一重,中国重工,航天通信,江河创建,建发股份。 打印 收藏 转发 关闭页面 分享到 | 相关新闻...  ^1417056300^2014-11-27 10:45:00^证券时报^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://data.stcn.com/2014/1127/11875334.shtml^海南橡胶,中国重工等股票资金流速居前^http://data.stcn.com/2014/1127/11875334.shtml^截至10点40分,资金流入速度最快的个股为:海南橡胶,中国重工,中国神华,同济科技,中原特钢。 打印 收藏 转发 关闭页面 分享到 | 相关新闻...  ^1417056720^2014-11-27 10:52:00^证券时报^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://xueqiu.com/1555320532/33334638^花城金沙: $中国重工(SH601989)$中国经商带... - 雪球^http://xueqiu.com/1555320532/33334638^改革开放后,我国是“韬光养晦”,是在西方的规则下经商,属于轻装简从,带着“细软”和“土特产”奔波西方掌控的四方。如今,海上强盗越来越多,我们的经济利益越来越...  ^1416988874^2014-11-26 16:01:14^雪球网^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://info.jctrans.com/news/hyxw/201411262088988.shtml^孙波出席2014国际海运年会并作主题发言^http://info.jctrans.com/news/hyxw/201411262088988.shtml^11月5日至6日,中船重工受邀参加国际2014海运(中国)年会,中船重工副总经理、中国重工总经理孙波出席并作了题为“共谋新常态、共赢新发展”的主题发言。 由中远...  ^1416965640^2014-11-26 09:34:00^锦程物流网^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://price.pcauto.com.cn/56705/news_detail6580623.html^大连深蓝奥迪大客户专场团购会进行时^http://price.pcauto.com.cn/56705/news_detail6580623.html^大连凯伦饭店有限公司大连盛基建筑安装工程有限公司大连双迪科技有限公司大连西太平洋石油化工有限公司鞍钢集团公司大连船舶工业公司(集团)...  ^1416889020^2014-11-25 12:17:00^太平洋汽车网^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://yanbao.stock.hexun.com/dzqt558144.shtml^交通运输:集运美线因劳资谈判维持高位 荐5股^http://yanbao.stock.hexun.com/dzqt558144.shtml^ 上港集团(600018.SH)拟非公开发行不超过4.2亿股A股公司本次非公开发行股份...通过下属子公司与中国船舶工业贸易公司和上海外高桥造船有限公司就建造“3+2”艘...  ^1416758400^2014-11-24 00:00:00^和讯网^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://www.p5w.net/tradingday/zjssgs/201411/t20141125_692442.html^乐普医疗董秘回应市场质疑^http://www.p5w.net/tradingday/zjssgs/201411/t20141125_692442.html^乐普医疗董秘回应市场质疑播出时间:2014年11月25日文字内容:乐普医疗董秘回应市场质疑相关新闻:·乐普医疗舆情关注焦点 (2014-11-25 15:36)  ·成长股中看好...  ^1416906696^2014-11-25 17:11:36^全景网络^baidu_ns_search^keywords_corp_baidu.txt^^^298.9060017652251^
http://www.p5w.net/tradingday/zjssgs/201411/t20141125_692434.html^乐普医疗:新东港主营产品市场是否已饱和?^http://www.p5w.net/tradingday/zjssgs/201411/t20141125_692434.html^乐普医疗:新东港主营产品市场是否已饱和?播出时间:2014年11月25日文字内容:乐普医疗:新东港主营产品市场是否已饱和?相关新闻:·乐普医疗:新东港股东变身定增出...  ^1416906006^2014-11-25 17:00:06^全景网络^baidu_ns_search^keywords_corp_baidu.txt^^^318.9779346866726^
http://www.p5w.net/tradingday/zjssgs/201411/t20141125_692429.html^乐普医疗巨资收购原料药生产商股权^http://www.p5w.net/tradingday/zjssgs/201411/t20141125_692429.html^乐普医疗巨资收购原料药生产商股权播出时间:2014年11月25日文字内容:乐普医疗巨资收购原料药生产商股权相关新闻:节目精选 点播排行 最新节目 ...  ^1416906006^2014-11-25 17:00:06^全景网络^baidu_ns_search^keywords_corp_baidu.txt^^^222.2568402471315^
http://stock.huagu.com/f10/300003/notices/6522829.html^乐普医疗:关于公司向银行申请综合授信额度的公告^http://stock.huagu.com/f10/300003/notices/6522829.html^银行申请综合授信额度》的议案,为满足公司经营需要,同意公司向广发银行北 京国贸支行申请综合授信业务,授信额度 4 亿元,授信期限 1 年。  公司最终授信额度将以...  ^1416844800^2014-11-25 00:00:00^华股财经^baidu_ns_search^keywords_corp_baidu.txt^^^35.55339805825243^
http://guba.sina.com.cn/?s=thread&tid=66216&bid=265^风帆股份(sh600482)&gt; 浏览帖子^http://guba.sina.com.cn/?s=thread&tid=66216&bid=265^ 风帆股份(sh600482) +关注取消关注行情取消行情展开  今开: @open@最高: @high@最低: @low@ 成交量: @volume@成交额: @amount@换手率: @turnover@ ...  ^1417147924^2014-11-28 12:12:04^新浪网^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://www.p5w.net/tradingday/zjssgs/201411/t20141125_692432.html^乐普医疗:新东港是否面临环境污染风险?^http://www.p5w.net/tradingday/zjssgs/201411/t20141125_692432.html^乐普医疗:新东港是否面临环境污染风险?播出时间:2014年11月25日文字内容:乐普医疗:新东港是否面临环境污染风险?相关新闻:·乐普医疗:新东港股东变身定增出资方 (...  ^1416906014^2014-11-25 17:00:14^全景网络^baidu_ns_search^keywords_corp_baidu.txt^^^318.9779346866726^
http://www.p5w.net/tradingday/zjssgs/201411/t20141125_692428.html^《公司直击》乐普医疗收购资产遭质疑^http://www.p5w.net/tradingday/zjssgs/201411/t20141125_692428.html^《公司直击》乐普医疗收购资产遭质疑播出时间:2014年11月25日文字内容:更多股市预测和潜力股追踪,关注《交易日》官方微信。微信号:tradingday  主持人:好的,欢迎...  ^1416844800^2014-11-25 00:00:00^全景网络^baidu_ns_search^keywords_corp_baidu.txt^^^123.38834951456309^
http://app.finance.ifeng.com/info/news_gsxw.php?code=sz300003^乐普医疗(300003)公司新闻^http://app.finance.ifeng.com/info/news_gsxw.php?code=sz300003^(2014-08-27 01:29:06) 乐普医疗拟出资1400万涉足可穿戴医疗设备(2014-08-26 10:04:51)   STCN解读:乐普医疗牵手金石投资谋并购 进入第三方检测业务(...  ^1416911701^2014-11-25 18:35:01^凤凰网^baidu_ns_search^keywords_corp_baidu.txt^^^255.51456310679615^
http://istock.jrj.com.cn/article,300003,27521236.html^乐普医疗:关于召开2014年第四次临时股东大会的通知^http://istock.jrj.com.cn/article,300003,27521236.html^ 2、会议召开方式:本次股东大会采取现场投票和网络投票相结合的方式召开。 3、会议召开时间: (1)现场会议时间:2014 年 12 月 11 日(星期四)上午 10:00 (2...  ^1416984533^2014-11-26 14:48:53^金融界^baidu_ns_search^keywords_corp_baidu.txt^^^32.79964695498676^
http://www.chinastock.com.cn/yhwz_about.do?methodCall=getDetailInfo&docId=4547317^渤海重工215000吨散货船1号船试航^http://www.chinastock.com.cn/yhwz_about.do?methodCall=getDetailInfo&docId=4547317^11月9日,渤海船舶重工有限责任公司215000吨散货船1号船离港试航,较公司节点计划提前6天。副总经理孙东明,部分助理级领导到现场为参加试航人员送行。 ...  ^1417104000^2014-11-28 00:00:00^中国银河证券^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://news.10jqka.com.cn/field/20141126/568645311.shtml^乐普医疗(11月25日)现大宗交易 - 同花顺金融服务网^http://news.10jqka.com.cn/field/20141126/568645311.shtml^据同花顺数据中心统计,2014-11-25乐普医疗出现大宗交易,该笔大宗交易成交价格为22.78元,买方为宏源证券股份有限公司上海妙境路证券营业部,卖方为宏源证券股份有限...  ^1416963664^2014-11-26 09:01:04^同花顺金融服务网^baidu_ns_search^keywords_corp_baidu.txt^^^119.61518093556927^
post-worldlook-1321025-1^发动机---中国重工业之殇^http://bbs.tianya.cn/post-worldlook-1321025-1.shtml^发动机也许在重工业中属于低端,但发动机却可以反映出一个国家的重工业现状。很明显,中国各种机器的心脏病十分严重。中国需要更多的工程师,而培养人才的学校就显得十分重要了。^1416829080^2014-11-24 19:38^要爱党爱国^tianya_bbs_search^keywords_corp_forum.txt^^^^
post-296-171328-1^重回武泰闸(追忆我们的青春岁月)^http://bbs.tianya.cn/post-296-171328-1.shtml^武泰闸涂家沟武船宿舍那里有一套房子,一室一厅,挺不错的,房租也不贵,两百块一月,要行的话带我们去看看。我们说可以啊,他就和另外一个店员一人骑一辆摩托车带上我们去看房。 摩托车穿^1416922800^2014-11-25 21:40^风涛188^tianya_bbs_search^keywords_corp_forum.txt^^^11.878787878787895^
post-feeling-3818203-1^不再见.^http://bbs.tianya.cn/post-feeling-3818203-1.shtml^你大学念的武船,你学校有一只很大很漂亮的船,我去过两次,拍过一次。但是这个礼物我至今还未看到,因为今年3月离开武汉来到上海我还没有回去过。另个礼物我还没要,或者说我提过,我说依^1416903960^2014-11-25 16:26^z小姐超跑女神^tianya_bbs_search^keywords_corp_forum.txt^^^0.6363636363636364^
ab735a258a90e8e1-6bee54fcbd896b2a-3224634472a64e947f216f1a6c86918e^2015年全国职业技能大赛&ldquo;船舶主机和轴系安装&rdquo;赛项方案论证会在武汉船院召开^http://mp.weixin.qq.com/s?__biz=MzA5ODA3NzcyOA==&mid=201347100&idx=1&sn=efb752dbf307be7c304f416df7deba96&3rd=MzA3MDU4NTYzMw==&scene=6#rd^赛项申报方案论证会在我院轮机工程中心二楼会议室召开.全国船舶工业职业教育教学指导委员会(下简称&ldquo;船舶行指委&rdquo;)副主任委员熊仕涛、船舶行指委秘书长陈长江、船舶行指委副秘书长赵明安、船舶行指委轮机专指委秘书长李舒燕以及来自我院动力工程学院和武昌船舶重工集团有限公...^1417049865^2014-11-27 08:57:45^武汉船舶职业技术学院^sogou_weixin_search^keywords_corp_weixin.txt^^^11.787059787059784^
ab735a258a90e8e1-6bee54fcbd896b2a-29d24c784d31e2e4d1fd58e73faa3131^【知行足迹】学理论,践行动理论研究会提高班大连船舶重工集团实践活动圆满结束^http://mp.weixin.qq.com/s?__biz=MzA4NjU3NjQxMg==&mid=208485763&idx=1&sn=91723febe550127f4d4fedd94bed74d6&3rd=MzA3MDU4NTYzMw==&scene=6#rd^2014年11月26日下午,孙建平、史云峰、张金榜三位老师,提高班及学习小组部分成员前往大连造船厂进行实践.大船重工集团全称大连船舶重工集团有限公司,始建于1898年6月10日.至今,大船重工集团已为中国造船创造70多个&ldquo;第一&rdquo;产品,被誉为&ldquo;中国造船业的旗舰&rdquo;、&ldquo;海军舰艇...^1417052253^2014-11-27 09:37:33^DUT理论研究会^sogou_weixin_search^keywords_corp_weixin.txt^^^6.090090090090088^
ab735a258a90e8e1-6bee54fcbd896b2a-2c9082659f402c188c67e6ca5a502979^【运载的故事】找工作那点事儿 之 大船重工^http://mp.weixin.qq.com/s?__biz=MjM5NjA4ODM5OA==&mid=202935248&idx=2&sn=ce5063243e18248da8348cad3ee228c0&3rd=MzA3MDU4NTYzMw==&scene=6#rd^赵晓玲,船舶与海洋结构物设计制造专业2012级硕士研究生,运载硕士2012船舶02学生党支部书记,师从黄一教授,2014年11月签约大连船舶重工集团.大连船舶重工集团有限公司(简称大船重工)隶属于中国船舶重工集团控股的上市公司中国船舶重工股份有限公司.大船重工是目前国...^1417094588^2014-11-27 21:23:08^运载学部学办^sogou_weixin_search^keywords_corp_weixin.txt^^^14.25716625716625^
ab735a258a90e8e1-6bee54fcbd896b2a-a9d305bdb2d1b2efd8c0c4f2ea716918^【海商观察】大连曲轴:肩负曲轴国产化重任^http://mp.weixin.qq.com/s?__biz=MjM5MTQ5ODkxMg==&mid=201307611&idx=3&sn=adc3e8b24e88a2f2c8b753043b4b3386&3rd=MzA3MDU4NTYzMw==&scene=6#rd^记者了解到,由于地域上的优势,大连曲轴大多为中船重工大连船用柴油机有限公司进行配套.截至目前,大连曲轴共计为大连船柴配套提供各种型号曲轴120余支,型号覆盖曼恩和瓦锡兰两大系列,成为大连船柴坚强的支撑后盾.  谈起在大连曲轴没有生产船用曲轴之前,船用柴油机厂遭遇的...^1417013907^2014-11-26 22:58:27^海商通^sogou_weixin_search^keywords_corp_weixin.txt^^^15.25634725634725^
ab735a258a90e8e1-6bee54fcbd896b2a-b63b0c80da442c5f5c1d0f8ee6aa6f57^【2014年11月25日上午10点】大连船舶重工集团^http://mp.weixin.qq.com/s?__biz=MzAwMDExNTgxOA==&mid=202603492&idx=4&sn=5ed933f6b98e8d1ad31b1ac692a17fef&3rd=MzA3MDU4NTYzMw==&scene=6#rd^大连船舶重工集团电气有限公司大连船舶重工集团电气有限公司现有员工1800多人,是合资企业.具体招聘范围:1、招聘对象:18周岁以上,身体健康,视力良好.所学专业:机械、机电、水电焊、电器自动化相关专业.要求大专以上学历(以利于培养技术人员和工程管理人员). 2、(1)...^1416722030^2014-11-23 13:53:50^兰州工业学院招生就业^sogou_weixin_search^keywords_corp_weixin.txt^^^8.006552006552003^
ab735a258a90e8e1-6bee54fcbd896b2a-4b7657fad7a814b8515b4eefff9172d4^【白名单船厂微分析】武船重工^http://mp.weixin.qq.com/s?__biz=MjM5Njc1MzgyNA==&mid=203016463&idx=5&sn=148483c70a1e82df14145e5ccea582de&3rd=MzA3MDU4NTYzMw==&scene=6#rd^所在地区:湖北省企业性质:国有业务类型:造船、海工隶属企业:中国船舶重工集团公司船台/坞:8000DWT起重能力:300吨手持订单(艘数):14艘手持订单(载重吨):214274DWT年最大交付能力:800000DWT订单完工时间:0.29年据国际船舶网统计,武昌船舶重工手持订单中,锚...^1416882390^2014-11-25 10:26:30^国际船舶网^sogou_weixin_search^keywords_corp_weixin.txt^^^6.457002457002455^
ab735a258a90e8e1-6bee54fcbd896b2a-b824576c532e241e855167d04a08d32f^以德育人,技能立业大连市技师学院^http://mp.weixin.qq.com/s?__biz=MzAxMzEzNDYxNQ==&mid=201412070&idx=1&sn=507b4b610d62850aad5e2846802a1854&3rd=MzA3MDU4NTYzMw==&scene=6#rd^是东北首批高等院校与技师学院联合培养高学历高技能人才基地.学院坚持&ldquo;校企合作,工学结合&rdquo;办学思路,通过建立互惠互利、合作共赢的校企合作长效机制,与100多家企业建立了稳定的合作关系,特别是与中国一重、大连重工&middot;起重集团、中远船务、大连冰山集团、大连船舶重工、大...^1417089646^2014-11-27 20:00:46^大连市技师学院^sogou_weixin_search^keywords_corp_weixin.txt^^^7.154791154791153^
ab735a258a90e8e1-6bee54fcbd896b2a-34cbf5f3bdc472efa50b170256126233^中船重工深化与三沙合作 冀参与重要基础设施建设(图)^http://mp.weixin.qq.com/s?__biz=MjM5NTY5MzIzMw==&mid=201036551&idx=5&sn=7847105dfe9814da9318495413cd5d82&3rd=MzA3MDU4NTYzMw==&scene=6#rd^人民网海南视窗三沙永兴岛11月20日至11月22日,三沙市政府与中国船舶重工集团公司连夜召开三沙岛礁重要基础设施项目研究座谈会,畅谈合作成果,展望合作前景.工信部装备司副司长李东,三沙市委书记、市长肖杰,中国船舶重工集团公司副总经理钱建平出席座谈会.中船重工集团在...^1416814772^2014-11-24 15:39:32^中国船舶与海洋工程网^sogou_weixin_search^keywords_corp_weixin.txt^^^4.036036036036036^
ab735a258a90e8e1-6bee54fcbd896b2a-d0382b96d02bfeaff773a941e3edda83^大船集团优秀群众性技术创新成果获大连市表彰^http://mp.weixin.qq.com/s?__biz=MzA5NTU4MjIwNw==&mid=201502238&idx=3&sn=266bed862b6396a9f64fdfda71e660a3&3rd=MzA3MDU4NTYzMw==&scene=6#rd^大船集团推荐的37项优秀成果成功入选.其中,孙长勋、王彦城荣获2013年度大连市&ldquo;十佳技术创新能手&rdquo;称号;大船集团荣获2013-2014年度职工技术创新工作先进单位.至此,大船集团已连续八年在大连市群众性经济技术创新成果评选中名列前茅.   2013年度大连市优秀群众性技术创新成...^1417162686^2014-11-28 16:18:06^大船集团^sogou_weixin_search^keywords_corp_weixin.txt^^^5.274365274365272^
ab735a258a90e8e1-6bee54fcbd896b2a-6bca3411031a4619cc42ce55bfa2d5ec^大船集团紧扣节点抓生产  冲刺全年目标^http://mp.weixin.qq.com/s?__biz=MzA5NTU4MjIwNw==&mid=201502238&idx=1&sn=67870a11b3e1614fa2988276faf03281&3rd=MzA3MDU4NTYzMw==&scene=6#rd^年关将近,大船集团再次迎来生产节点密集期,即将面临&ldquo;两船出坞,三船试航,两船交工&rdquo;七大重要节点.为全力打好第四季度收官战,大船集团以计划管理为准则,以提高效率为根本,紧扣节点抓生产,确保船舶总组、出坞、试航三个阶段完整性实现较高水平,向全年生产目标冲刺. 在...^1417162687^2014-11-28 16:18:07^大船集团^sogou_weixin_search^keywords_corp_weixin.txt^^^2.4307944307944305^
ab735a258a90e8e1-6bee54fcbd896b2a-47e8d53005662e95f116d96b363a9718^【行业消息】武船获各类制造合同超百亿^http://mp.weixin.qq.com/s?__biz=MzA5MTI4ODUwMQ==&mid=204083812&idx=3&sn=d8c98195cf2c7c543c8745e78d457a6d&3rd=MzA3MDU4NTYzMw==&scene=6#rd^近日,武船集团介绍,自从去年拿下&ldquo;海工第一单&rdquo;巴西国家石油公司&ldquo;深海浮体&rdquo;后,集团海洋工程装备制造发展迅猛,目前,各类海工装备制造合同额已超百亿,地处长江中游的武船集团已扬帆&ldquo;出海&rdquo;.  去年,船舶和海洋工程装备产业成为湖北6个重点产业之一,今年10月,湖北海...^1416806894^2014-11-24 13:28:14^斯考根海员培训^sogou_weixin_search^keywords_corp_weixin.txt^^^4.586404586404587^
ab735a258a90e8e1-6bee54fcbd896b2a-266bece414b71fa801e397e757203739^做壳子,搞组装,海工产业&ldquo;泡味化&rdquo;初显^http://mp.weixin.qq.com/s?__biz=MzA3OTgxMjkxNA==&mid=201476146&idx=1&sn=11f3359bc6abb117680d168262f2a6bf&3rd=MzA3MDU4NTYzMw==&scene=6#rd^&ldquo;技术依赖症&rdquo;难愈 与产能膨胀相伴随的,是装备研发能力弱、核心技术依赖国外的状况没有得到实质改善,不断攀升的海工经济数据实为一种&ldquo;虚胖&rdquo;.虽然中远船务不久前交付了世界上最先进的圆筒型超深水海洋钻探储油平台,成功跨入海工装备总包商行列,武昌船舶近年来也自主开发了...^1417136146^2014-11-28 08:55:46^半月谈教育丹东分校^sogou_weixin_search^keywords_corp_weixin.txt^^^2.5683865683865683^
ab735a258a90e8e1-6bee54fcbd896b2a-a8b7d6fba871a95837b6ae30fa27f0d1^中船重工重庆红江机械有限责任公司 西安宣讲会^http://mp.weixin.qq.com/s?__biz=MzA3ODk0MTgzMQ==&mid=202435049&idx=2&sn=9e821b9b405cc67fdd54e06b66d33835&3rd=MzA3MDU4NTYzMw==&scene=6#rd^简介: 重庆红江机械有限责任公司(网址:http://www.cqhj.cn)是中国船舶重工集团(股票简称:中国重工,601989)子公司,公司于1967年建成,地处重庆市永川区,现有在岗职工1100余人,技术人员180人;公司是重庆市高新技术企业、重庆市园林式工厂、重庆市文明单位,拥有重庆市...^1417137010^2014-11-28 09:10:10^城院机械系就业信息交流^sogou_weixin_search^keywords_corp_weixin.txt^^^1.9721539721539725^
ab735a258a90e8e1-6bee54fcbd896b2a-863c85f5f09fa58450602f699bef34b5^中国重工:民船见底军船爆发 资产注入亦可期^http://mp.weixin.qq.com/s?__biz=MzA5MTM3NDAyNA==&mid=203332502&idx=1&sn=1bc019963a112d7f33b35f49feb2ef67&3rd=MzA3MDU4NTYzMw==&scene=6#rd^1.核心推荐逻辑结论:中国重工船舶业务预计将不断回升,军船业务迎来爆发且资产注入可期.我们预计2014-2016年EPS为0.19、0.21、0.29元,2014-2016年同比增幅分别为15.4%、19.3%、20%.我们给予公司略低于行业平均水平的PB值3倍及42倍PE,由此对应目标价为8元.首次覆盖,...^1416618096^2014-11-22 09:01:36^机械吕娟团队^sogou_weixin_search^keywords_corp_weixin.txt^^^1.8804258804258804^
