中国重工^174
乐普医疗^140
武船^73
中船重工^40
风帆股份^24
大连船舶重工^20
重齿^7
武昌船舶^7
大船重工^6
中国船舶重工股份有限公司^5
中国船舶重工集团^5
中国船舶工业贸易公司^5
大船集团^5
北船重工^5
河柴^5
渤海船舶重工有限责任公司^4
青岛北海船舶重工有限责任公司^4
昆明船舶设备集团有限公司^4
大连船柴^3
武船重工^3
江淮重工^3
大连船舶重工集团有限公司^3
渤船重工^3
海装风电^3
河南柴油机重工有限责任公司^2
大连船用柴油机有限公司^2
重庆红江^2
红江机械^2
宜昌船舶柴油机有限公司^1
武汉重工^1
重庆长征^1
大连船舶工业公司^1
风帆股份有限公司^1
